wall_time,t,ciclo,sender,receiver,performative,bytes,delay_s,dropped
1788504452.888024,,ciclo3_AM_AC_AD,dso,market,propose,1448,24.502065,0
1788504453.140979,,,market,concentrator_alimentador_650,reject-proposal,1260,19.895582,0
1788504453.142366,,,market,dso,reject-proposal,1477,23.790010,0
1788504453.198529,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.743172,0
1788504453.201184,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.869870,0
1788504453.389269,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1250,19.912887,0
1788504453.512017,,ciclo3_AM_AC_AD,dso,market,propose,1055,18.402384,0
1788504453.704017,,,market,concentrator_alimentador_650,reject-proposal,1154,20.234244,0
1788504453.705350,,,market,dso,reject-proposal,1282,22.101175,0
1788504453.761920,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,2.285275,0
1788504453.765319,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.893410,0
1788504454.015852,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1149,19.909271,0
1788504454.090828,,ciclo3_AM_AC_AD,dso,market,propose,1361,21.484176,0
1788504454.312591,,,market,concentrator_alimentador_650,reject-proposal,1063,16.569682,0
1788504454.313997,,,market,dso,reject-proposal,1280,21.109015,0
1788504454.370593,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,3.090330,0
1788504454.373794,,ciclo3_AM_AC_AD,market,dso,cfp,100,2.204850,0
1788504454.624506,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1170,20.199236,0
1788504454.691439,,ciclo3_AM_AC_AD,dso,market,propose,1417,23.765169,0
1788504454.935566,,,market,concentrator_alimentador_650,reject-proposal,1472,24.943654,0
1788504454.936785,,,market,dso,reject-proposal,1276,21.720507,0
1788504454.991952,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.729093,0
1788504454.994895,,ciclo3_AM_AC_AD,market,dso,cfp,100,2.549075,0
1788504455.197537,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1104,20.122932,0
1788504455.318180,,ciclo3_AM_AC_AD,dso,market,propose,1493,24.219166,0
1788504455.566022,,,market,concentrator_alimentador_650,reject-proposal,1409,23.574000,0
1788504455.566881,,,market,dso,reject-proposal,1308,21.889270,0
1788504455.620914,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,2.719086,0
1788504455.623470,,ciclo3_AM_AC_AD,market,dso,cfp,100,2.019727,0
1788504455.875390,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1280,23.339477,0
1788504455.945067,,ciclo3_AM_AC_AD,dso,market,propose,1300,23.301820,0
1788504456.182296,,,market,concentrator_alimentador_650,reject-proposal,1147,20.843754,0
1788504456.182764,,,market,dso,reject-proposal,1227,21.253791,0
1788504456.238103,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,2.826478,0
1788504456.240860,,ciclo3_AM_AC_AD,market,dso,cfp,100,3.709765,0
1788504456.480264,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1046,16.320504,0
1788504456.602668,,ciclo3_AM_AC_AD,dso,market,propose,1305,22.177842,0
1788504456.832422,,,market,concentrator_alimentador_650,reject-proposal,1408,23.326191,0
1788504456.833734,,,market,dso,reject-proposal,1197,18.371973,0
1788504456.890057,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.307136,0
1788504456.893269,,ciclo3_AM_AC_AD,market,dso,cfp,100,3.531469,0
1788504457.111696,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1162,22.022588,0
1788504457.236498,,ciclo3_AM_AC_AD,dso,market,propose,1294,21.209154,0
1788504457.454027,,,market,concentrator_alimentador_650,reject-proposal,1123,18.093464,0
1788504457.454602,,,market,dso,reject-proposal,1148,20.864176,0
1788504457.510946,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.739106,0
1788504457.514042,,ciclo3_AM_AC_AD,market,dso,cfp,100,3.101867,0
1788504457.726512,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1094,18.325474,0
1788504457.853709,,ciclo3_AM_AC_AD,dso,market,propose,1096,16.371344,0
1788504458.024655,,,market,concentrator_alimentador_650,reject-proposal,1420,25.644710,0
1788504458.025987,,,market,dso,reject-proposal,1095,16.501901,0
1788504458.081473,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.169121,0
1788504458.084496,,ciclo3_AM_AC_AD,market,dso,cfp,100,2.061724,0
1788504458.254074,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1016,15.780182,0
1788504458.413391,,ciclo3_AM_AC_AD,dso,market,propose,1313,22.165221,0
1788504458.642019,,,market,concentrator_alimentador_650,reject-proposal,1336,21.593240,0
1788504458.643440,,,market,dso,reject-proposal,1133,16.422243,0
1788504458.699659,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.023894,0
1788504458.702763,,ciclo3_AM_AC_AD,market,dso,cfp,100,2.425975,0
1788504458.877430,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1243,21.471061,0
1788504458.989231,,ciclo3_AM_AC_AD,dso,market,propose,1035,19.540923,0
1788504459.191786,,,market,concentrator_alimentador_650,reject-proposal,1045,18.254151,0
1788504459.192801,,,market,dso,reject-proposal,1347,20.490174,0
1788504459.248205,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.678562,0
1788504459.251070,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.277295,0
1788504459.487234,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1387,22.803654,0
1788504459.573660,,ciclo3_AM_AC_AD,dso,market,propose,1066,19.582847,0
1788504459.777125,,,market,concentrator_alimentador_650,reject-proposal,1448,24.609401,0
1788504459.778512,,,market,dso,reject-proposal,1076,19.201821,0
1788504459.834811,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,3.454969,0
1788504459.838229,,ciclo3_AM_AC_AD,market,dso,cfp,100,2.442875,0
1788504460.091921,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1472,25.543216,0
1788504460.159132,,ciclo3_AM_AC_AD,dso,market,propose,1019,19.947537,0
1788504460.361884,,,market,concentrator_alimentador_650,reject-proposal,1431,24.827507,0
1788504460.362276,,,market,dso,reject-proposal,1041,18.208762,0
1788504460.415842,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.501484,0
1788504460.417885,,ciclo3_AM_AC_AD,market,dso,cfp,100,0.987570,0
1788504460.655285,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1459,24.581571,0
