wall_time,t,ciclo,sender,receiver,performative,bytes,delay_s,dropped
1789091371.406103,78,ciclo1_AC_AP,prosumer4,concentrator_trafo_1_3,propose,303,7.562496,0
1789091371.407647,78,ciclo1_AC_AP,prosumer7,concentrator_trafo_1_3,propose,122,3.919727,0
1789091371.409122,78,ciclo1_AC_AP,prosumer17,concentrator_trafo_2_12,propose,215,2.664106,0
1789091371.426012,78,ciclo1_AC_AP,prosumer20,concentrator_trafo_2_12,propose,223,7.647827,0
1789091371.436291,78,ciclo1_AC_AP,prosumer8,concentrator_trafo_1_3,propose,425,17.992837,0
1789091371.622958,78,ciclo2_AD_AC,dso,concentrator_trafo_1_3,cfp,100,2.419435,0
1789091371.623618,78,ciclo2_AD_AC,dso,concentrator_trafo_2_12,cfp,100,3.030491,0
1789091371.652380,78,ciclo2_AD_AC,concentrator_trafo_1_3,dso,propose,1144,38.984052,0
1789091371.657304,78,ciclo2_AD_AC,concentrator_trafo_2_12,dso,propose,1168,38.755569,0
1789091372.050888,78,ciclo3_AM_AC_AD,market,dso,cfp,100,1.917637,0
1789091372.079031,78,ciclo3_AM_AC_AD,dso,market,propose,1087,18.945286,0
1789091372.276408,78,ciclo3_AM_AC_AD,market,concentrator_trafo_1_3,cfp,100,5.830806,0
1789091372.277238,78,ciclo3_AM_AC_AD,market,concentrator_trafo_2_12,cfp,100,0.831853,0
1789091372.277940,78,ciclo3_AM_AC_AD,market,dso,cfp,100,0.756933,0
1789091372.319863,78,ciclo3_AM_AC_AD,concentrator_trafo_2_12,market,propose,1494,23.521978,0
1789091372.322532,78,ciclo3_AM_AC_AD,dso,market,propose,1121,19.054741,0
1789091372.359824,78,ciclo3_AM_AC_AD,concentrator_trafo_1_3,market,propose,1180,41.050458,0
1789091372.841149,79,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer3,cfp,100,1.286275,0
1789091372.842147,79,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer4,cfp,100,1.835507,0
